http_time_avg,bytes_A,packet_inter_arrivel_entropy,packet_inter_arrivel_min,ttl_min,device_category
0,743,4.889680181,0,44,4
0,743,3.864853098,0,42,4
0,743,4.889680181,9.54E-07,43,4
0,743,4.251629167,0,42,4
0,743,4.165894208,0,42,4
0,743,4.889680181,0,43,4
0,743,4.165894208,0,42,4
0,743,4.45366069,0,44,4
0,743,4.889680181,0,42,4
0,743,4.546593564,9.54E-07,42,4
0,743,4.889680181,0,43,4
0,743,4.501629167,0,44,4
0,743,4.889680181,0,43,4
0,743,4.334962501,0,42,4
0,743,4.889680181,0,42,4
0,743,4.053508855,0,42,4
0,743,4.56385619,0,44,4
0,743,4.229871195,0,42,4
0,743,4.889680181,0,43,4
0,743,4.152391278,0,42,4
0,743,4.889680181,0,42,4
0,743,4.386842188,0,44,4
0,743,4.889680181,0,43,4
0,743,4.386842188,0,44,4
0,743,4.889680181,0,42,4
0,743,4.110093478,0,44,4
0,743,4.889680181,0,42,4
0,743,4.152391278,0,44,4
0,743,4.889680181,0,43,4
0,743,4.37366069,0,44,4
0,743,4.889680181,0,43,4
0,743,4.303508855,0,44,4
0,743,4.889680181,0,41,4
0,743,4.101227481,9.54E-07,42,4
0,743,4.889680181,0,42,4
0,743,4.095795255,0,44,4
0,743,4.889680181,0,43,4
0,743,4.053508855,0,44,4
0,743,4.889680181,0,43,4
0,743,4.152391278,0,42,4
0,743,4.21189747,0,42,4
0,743,4.889680181,0,42,4
0,743,4.175735869,0,44,4
0,743,4.889680181,0,43,4
0,743,4.188721876,0,42,4
0,743,4.889680181,0,42,4
0,743,4.188721876,0,42,4
0,743,4.889680181,0,43,4
0,743,3.879664005,0,42,4
0,743,4.889680181,0,42,4
0,743,4.243300369,0,44,4
0,743,4.889680181,0,43,4
0,743,4.229871195,0,44,4
0,743,4.889680181,0,42,4
0,743,4.277613437,0,44,4
0,743,4.889680181,0,41,4
0,743,4.229871195,0,44,4
0,743,4.889680181,0,43,4
0,743,4.386842188,0,42,4
0,743,4.889680181,0,43,4
0,743,4.070656113,0,44,4
0,743,4.889680181,0,43,4
0,743,4.501629167,0,42,4
0,743,4.889680181,0,43,4
0,743,4.889680181,0,42,4
0,743,4.168295834,0,44,4
0,743,4.152391278,0,44,4
0,743,4.889680181,0,42,4
0,743,4.101227481,0,42,4
0,743,4.889680181,0,43,4
0,743,4.303508855,0,42,4
0,743,4.889680181,0,43,4
0,743,4.303508855,0,44,4
0,743,4.889680181,0,42,4
0,743,4.889680181,0,43,4
0,743,4.152391278,0,44,4
0,743,4.501629167,0,44,4
0,743,4.889680181,0,43,4
0,743,4.368522528,0,42,4
0,743,4.889680181,0,43,4
0,743,4.386842188,0,42,4
0,743,4.875,0,42,4
0,743,4.889680181,0,41,4
0,743,4.368522528,0,42,4
0,743,4.889680181,0,43,4
0,743,4.277613437,0,44,4
0,743,4.889680181,0,43,4
0,743,4.053508855,0,44,4
0,743,4.889680181,0,43,4
0,743,4.243300369,0,44,4
0,743,4.889680181,0,43,4
0,743,4.277613437,0,42,4
0,743,4.889680181,0,43,4
0,743,4.303508855,0,42,4
0,743,4.889680181,0,43,4
0,743,4.262692391,9.54E-07,42,4
0,743,4.889680181,0,41,4
0,743,4.368522528,0,42,4
0,743,4.889680181,0,42,4
0,743,4.152391278,0,44,4
0,743,4.889680181,0,54,0
0.003083,743,3.906890596,1.22E-05,64,0
0.004329,743,3.906890596,0,64,0
0.003404,743,3.906890596,0,64,0
0.004324,743,3.906890596,9.54E-07,64,0
0.004241,743,3.773557262,7.87E-06,64,0
0.003208,743,3.906890596,7.15E-06,64,0
0.003311,743,3.906890596,1.00E-05,64,0
0.003471,743,3.906890596,1.19E-05,64,0
1789569706,743,4.889680181,0,46,0
0,743,4.459431619,2.15E-06,40,0
0,743,4.459431619,1.91E-06,41,0
0,743,4.169925001,1.91E-06,39,0
0,743,4.64385619,8.11E-06,45,0
0,743,4.584962501,6.91E-06,45,0
