http_time_avg,ttl_avg,packet_inter_arrivel_B_firstQ,packet_inter_arrivel_A_sum,packet_inter_arrivel_B_min,device_category
0,129.902439,5.10E-05,1.915580034,0,1
0,130.3170732,3.98E-05,2.001971006,0,1
0,131.2439024,2.88E-05,2.1833148,9.54E-07,1
0,131.2195122,3.79E-05,2.152057886,9.54E-07,1
0,137.3636364,0.000335515,2.242151022,0,1
0,134.8139535,1.61E-05,2.646915913,0,1
0,54.33333333,0,0.243672132,0,1
0,129.9756098,0.000109911,1.910360098,1.10E-05,1
0,136.8863636,6.47E-05,2.050363064,0,1
0,130.7804878,4.01E-05,1.944872856,0,1
0,130.0731707,0.000102043,2.274128199,1.91E-06,1
0,49.10810811,0.000114083,1.910318851,0,1
0,131.2195122,4.10E-05,2.176774979,9.54E-07,1
0,129.9268293,0.00111413,1.998077869,1.00E-05,1
0,134.627907,3.55E-05,2.006663084,0,1
0,49.48648649,0.000112414,1.836075068,1.00E-05,1
0,129.5853659,0.000119925,2.131784916,9.54E-07,1
0,130.804878,3.81E-05,2.043390989,0,1
0,129.9268293,4.01E-05,2.231955051,9.54E-07,1
0,54,0,0.293031931,0,1
0,130.7804878,3.89E-05,1.93483901,9.54E-07,1
0,129.9268293,0.001519918,1.967085123,2.98E-05,1
0,49.2972973,0.000411093,1.798969984,2.15E-06,1
0,49.62162162,0.000173867,2.726497889,2.15E-06,1
0,131.2439024,0.001081944,1.993225098,1.91E-06,1
0,130.7804878,4.91E-05,2.114113808,9.54E-07,1
0,50.71875,0.000103176,2.202908993,9.54E-07,1
0,130.4878049,0.000108957,2.365749121,1.19E-06,1
0,130.3658537,0.000100136,2.025262117,1.91E-06,1
0,54.66666667,0,0.233963013,0,1
0,130,0.003731012,2.343075991,1.41E-05,1
0,54,0,0.249001026,0,1
0,134.9302326,3.95E-05,2.085819006,9.54E-07,1
0,129.9512195,4.10E-05,2.167917013,9.54E-07,1
0,129.9268293,4.91E-05,1.921955109,9.54E-07,1
0,130.7804878,5.10E-05,1.947160959,9.54E-07,1
0,130.7560976,3.98E-05,2.093464136,0,1
0,137.1956522,2.98E-05,4.312470913,1.19E-06,1
0,131.2439024,0.000109911,1.988358021,0,1
0,130.1707317,4.98E-05,2.12342906,1.91E-06,1
0,54.66666667,0,0.230054855,0,1
0,131.0243902,0.00058198,2.087371111,2.15E-06,1
0,49.27027027,0.000112891,1.858874083,1.91E-06,1
0,49.81081081,0.000120163,1.923531055,1.00E-05,1
0,130.0487805,3.91E-05,2.04798317,1.19E-06,1
0,130.6097561,3.00E-05,2.023276091,0,1
0,131.2195122,2.88E-05,2.18961978,9.54E-07,1
0,136.8863636,0.000466824,2.095170021,9.54E-07,1
0,54.66666667,0,0.250732183,0,1
0,130.2926829,3.10E-05,2.00813508,9.54E-07,1
0,137.5681818,3.64E-05,2.144897938,9.54E-07,1
0,129.9268293,0.000117064,5.115203142,9.54E-07,1
0,130.6341463,3.91E-05,2.112426043,2.15E-06,1
0,54.33333333,0,0.258635044,0,1
0,136.1136364,3.63E-05,2.025051117,2.15E-06,1
0,136.4318182,9.61E-05,2.228893042,0,1
0,48.75675676,6.33E-05,2.073224068,0,1
0,54.33333333,0,0.247178078,0,1
0,130.9268293,5.01E-05,2.095382929,9.54E-07,1
0,130.7560976,4.01E-05,2.139324903,2.15E-06,1
0,136.9090909,4.98E-05,2.356735945,0,1
0,130.1219512,0.002893925,2.239872932,1.91E-06,1
0,130.1219512,0.000111818,2.347172022,0,1
0,130.2195122,8.92E-05,2.081092119,9.54E-07,1
0,50.48717949,7.10E-05,1.857494831,1.10E-05,1
0,129.8780488,5.01E-05,2.294207096,2.15E-06,1
0,130.804878,4.70E-05,1.916109085,9.54E-07,1
0,129.9268293,0.000960112,2.153218031,9.54E-07,1
0,135.3255814,7.89E-05,2.6026721,9.54E-07,1
0,130.7804878,3.00E-05,2.020351171,0,1
0,130.4878049,0.000832081,2.197371006,0,1
0,129.9268293,9.99E-05,2.090610981,9.54E-07,1
0,131.2195122,4.98E-05,2.024981976,0,1
0,130.2195122,5.01E-05,2.001266956,9.54E-07,1
0,54,0,0.290168047,0,1
0,129.9268293,0.000108957,2.029334068,1.19E-06,1
0,55,0,0.25603199,0,1
0,130.3658537,0.000102043,2.210354805,1.41E-05,1
0,49.86111111,0.000119925,1.777493954,9.54E-07,1
0,129.9268293,4.01E-05,1.916612148,0,1
0,130.5869565,0.000573993,2.142152786,1.00E-05,1
0,130.804878,4.89E-05,1.893591881,1.19E-06,1
0,130.3414634,2.00E-05,2.11084795,0,1
0,130.6829268,3.98E-05,2.902709961,9.54E-07,1
0,130.804878,9.99E-05,1.942635059,0,1
0,134.3255814,2.99E-05,2.172232866,9.54E-07,1
0,131.2439024,4.82E-05,2.119193077,9.54E-07,1
0,130.7560976,0.000118971,2.079941988,0,1
0,130.4146341,0.000110865,2.011510849,9.54E-07,1
0,50.43181818,0.00074327,2.146123886,0,1
0,54.66666667,0,0.228549957,0,1
0,131.0487805,0.000110149,2.157582045,1.91E-06,1
0,54.33333333,0,0.270833969,0,1
0,134.6976744,3.90E-05,2.588969946,2.15E-06,1
0,50.36111111,0.000118971,2.146481991,7.87E-06,1
0,54.33333333,0,0.248412848,0,1
0,130.3170732,0.000108957,2.150769234,0,1
0,130.804878,0.000109911,1.962894201,9.06E-06,1
0,130.6585366,3.91E-05,2.17467308,0,1
0,50.36111111,0.000111103,1.879457951,1.91E-06,1
0,255,0,1.473951101,0,2
0,255,0,391.7976229,0,2
0,255,0,1.5239079,0,2
0,255,0,391.9983511,0,2
0,255,0,1.498646021,0,2
0,255,0,1.4988451,0,2
0,255,0,1.499496937,0,2
0,255,0,1.498812914,0,2
0,255,0,1.498857975,0,2
0,255,0,3246.617074,0,2
0,255,0,1564.249269,0,2
0,255,0,1.495379925,0,2
0,255,0,1.49889493,0,2
0,255,0,1.496381998,0,2
0,255,0,782.947701,0,2
0,255,0,1.449339151,0,2
0,255,0,1.474011183,0,2
0,255,0,1.498004913,0,2
0,255,0,2345.301396,0,2
0,255,0,1.470454931,0,2
0,255,0,1.448765039,0,2
0,255,0,1.498852968,0,2
0,255,0,1.499037981,0,2
0,255,0,1.474024057,0,2
0,255,0,1.498941898,0,2
0,255,0,1.498696089,0,2
0,255,0,1.49889493,0,2
0,255,0,1.497729778,0,2
0,255,0,1.496912003,0,2
0,255,0,2856.516898,0,2
0,255,0,1.499134779,0,2
0,255,0,1.51384902,0,2
0,255,0,1.463418961,0,2
0,255,0,1954.799313,0,2
0,255,0,391.948128,0,2
0,255,0,1561.946045,0,2
0,255,0,1.474670887,0,2
0,255,0,1.498585939,0,2
0,255,0,1.500251055,0,2
0,255,0,1.499141932,0,2
0,255,0,1.500913858,0,2
0,255,0,1.506978989,0,2
0,255,0,1.498280048,0,2
0,255,0,1.498825073,0,2
0,255,0,2345.499289,0,2
0,255,0,1.49889493,0,2
0,255,0,1.473822117,0,2
0,255,0,1.498929024,0,2
0,255,0,3246.666764,0,2
0,255,0,1.497997046,0,2
0,255,0,1.518784046,0,2
0,255,0,1173.349243,0,2
0,255,0,1.498724937,0,2
0,255,0,1.498890877,0,2
0,255,0,782.5265419,0,2
0,255,0,1.49904418,0,2
0,255,0,1564.844199,0,2
0,255,0,1954.797828,0,2
0,255,0,1.500539064,0,2
0,255,0,1.499567032,0,2
0,255,0,1.499008894,0,2
0,255,0,1.473163128,0,2
0,255,0,1.498987198,0,2
0,255,0,1.466249943,0,2
0,255,0,1.398814917,0,2
0,255,0,391.6952598,0,2
0,255,0,2343.744762,0,2
0,255,0,1.511192083,0,2
0,255,0,1.499064922,0,2
0,255,0,1.471302032,0,2
0,255,0,1.498888969,0,2
0,255,0,1.498818874,0,2
