http_time_avg,ttl_avg,packet_inter_arrivel_B_firstQ,packet_inter_arrivel_A_sum,packet_inter_arrivel_B_min,device_category
0,59.17241379,0.02208966,493.2712259,0,0
0.003083,64,0.000375509,0.038254976,4.10E-05,0
0.004329,64,0.000370979,0.037287951,4.10E-05,0
0.003404,64,0.000375509,0.032049894,3.98E-05,0
0.004324,64,0.000369906,0.028009892,4.01E-05,0
0.004241,64,0.000165462,0.042533875,4.20E-05,0
0.003208,64,0.000166059,0.041084051,4.22E-05,0
0.003311,64,0.000165582,0.018110991,3.10E-05,0
0.003471,64,0.000115991,0.018944979,4.20E-05,0
1789569706,52.92720037,0.000120878,2.951599836,2.15E-06,0
0,52.7826087,0.000131965,1.017133951,2.15E-06,0
0,53.2173913,0.002083421,0.732795,1.91E-06,0
0,53.73684211,0.002194524,0.777582169,1.91E-06,0
0,56,0.003007948,0.969804049,8.11E-06,0
0,55.12,2.55E-05,1.041013002,6.91E-06,0
0.108985,132.6,0.064009547,0.359769106,0.012160063,0
0,53.73913043,0.003196657,0.954859972,1.91E-06,0
0,53.26086957,2.57E-05,1.021634817,1.00E-05,0
0,55.04166667,0.000428915,0.991149187,9.06E-06,0
0,59.27016129,0.000119448,274.0206769,0,0
0,59.18012422,3.15E-05,271.9623981,2.15E-06,0
0,53.26086957,0.001086652,1.172179937,1.00E-05,0
0,58.30526316,0.000120521,273.691644,6.91E-06,0
0,58.33136095,0.000120878,273.6869171,2.15E-06,0
0,57.23837209,0.000121117,273.6552551,6.91E-06,0
0,54.82258065,0.000120878,274.7414551,2.31E-05,0
0,55.69291339,0.000119925,273.217829,0,0
0,56.98717949,0.000120878,292.3538482,7.87E-06,0
0,56.19140625,0.000120163,67.48066616,1.91E-06,0
0,53.26086957,0.000874043,0.876194,9.06E-06,0
0,65.78125,0.004062772,240.80439,2.10E-05,0
0,56.66666667,0,0.186447144,0,0
0,54.38095238,0.000323296,1.108056068,9.54E-07,0
0,54.64516129,0.003998339,0.845025063,1.91E-06,0
0,58.61904762,0.02266252,251.9375339,2.00E-05,0
0,55.09677419,0.004020393,0.833375931,1.98E-05,0
0,59.42424242,0.000103354,1.951262951,8.82E-06,0
0,58.21621622,8.36E-05,0.913778067,8.11E-06,0
0,64,0,63.08664083,0,0
0,57.74683544,0.000121117,222.602926,2.15E-06,0
0,57.53333333,0.000119925,248.2336228,8.82E-06,0
