ack,ack_A,ack_B,bytes,bytes_A,bytes_A_B_ratio,bytes_B,ds_field_A,ds_field_B,duration,http_GET,http_POST,http_bytes_avg,http_bytes_entropy,http_bytes_firstQ,http_bytes_max,http_bytes_median,http_bytes_min,http_bytes_stdev,http_bytes_sum,http_bytes_thirdQ,http_bytes_var,http_cookie_count,http_cookie_values_avg,http_cookie_values_entropy,http_cookie_values_firstQ,http_cookie_values_max,http_cookie_values_median,http_cookie_values_min,http_cookie_values_stdev,http_cookie_values_sum,http_cookie_values_thirdQ,http_cookie_values_var,http_count_host,http_count_req_content_type,http_count_resp_code,http_count_resp_content_type,http_count_transactions,http_count_user_agents,http_dom_host_alexaRank,http_dom_resp_code,http_has_location,http_has_referrer,http_has_req_content_type,http_has_resp_content_type,http_has_user_agent,http_inter_arrivel_avg,http_inter_arrivel_entropy,http_inter_arrivel_firstQ,http_inter_arrivel_max,http_inter_arrivel_median,http_inter_arrivel_min,http_inter_arrivel_stdev,http_inter_arrivel_sum,http_inter_arrivel_thirdQ,http_inter_arrivel_var,http_req_bytes_avg,http_req_bytes_entropy,http_req_bytes_firstQ,http_req_bytes_max,http_req_bytes_median,http_req_bytes_min,http_req_bytes_stdev,http_req_bytes_sum,http_req_bytes_thirdQ,http_req_bytes_var,http_resp_bytes_avg,http_resp_bytes_entropy,http_resp_bytes_firstQ,http_resp_bytes_max,http_resp_bytes_median,http_resp_bytes_min,http_resp_bytes_stdev,http_resp_bytes_sum,http_resp_bytes_thirdQ,http_resp_bytes_var,http_time_avg,http_time_entropy,http_time_firstQ,http_time_max,http_time_median,http_time_min,http_time_stdev,http_time_sum,http_time_thirdQ,http_time_var,packet_inter_arrivel_A_avg,packet_inter_arrivel_A_entropy,packet_inter_arrivel_A_firstQ,packet_inter_arrivel_A_max,packet_inter_arrivel_A_median,packet_inter_arrivel_A_min,packet_inter_arrivel_A_stdev,packet_inter_arrivel_A_sum,packet_inter_arrivel_A_thirdQ,packet_inter_arrivel_A_var,packet_inter_arrivel_B_avg,packet_inter_arrivel_B_entropy,packet_inter_arrivel_B_firstQ,packet_inter_arrivel_B_max,packet_inter_arrivel_B_median,packet_inter_arrivel_B_min,packet_inter_arrivel_B_stdev,packet_inter_arrivel_B_sum,packet_inter_arrivel_B_thirdQ,packet_inter_arrivel_B_var,packet_inter_arrivel_avg,packet_inter_arrivel_entropy,packet_inter_arrivel_firstQ,packet_inter_arrivel_max,packet_inter_arrivel_median,packet_inter_arrivel_min,packet_inter_arrivel_stdev,packet_inter_arrivel_sum,packet_inter_arrivel_thirdQ,packet_inter_arrivel_var,packet_size_A_avg,packet_size_A_entropy,packet_size_A_firstQ,packet_size_A_max,packet_size_A_median,packet_size_A_min,packet_size_A_stdev,packet_size_A_sum,packet_size_A_thirdQ,packet_size_A_var,packet_size_B_avg,packet_size_B_entropy,packet_size_B_firstQ,packet_size_B_max,packet_size_B_median,packet_size_B_min,packet_size_B_stdev,packet_size_B_sum,packet_size_B_thirdQ,packet_size_B_var,packet_size_avg,packet_size_entropy,packet_size_firstQ,packet_size_max,packet_size_median,packet_size_min,packet_size_stdev,packet_size_sum,packet_size_thirdQ,packet_size_var,packets,packets_A,packets_A_B_ratio,packets_B,push,push_A,push_B,reset,reset_A,reset_B,ssl_count_certificates,ssl_count_client_cipher_algs,ssl_count_client_ciphersuites,ssl_count_client_compressions,ssl_count_client_elliptic_curves,ssl_count_client_key_exchange_algs,ssl_count_client_mac_algs,ssl_count_server_ciphersuite,ssl_count_server_compression,ssl_count_server_elliptic_curve,ssl_count_server_name,ssl_count_transactions,ssl_count_version,ssl_dom_server_ciphersuite,ssl_dom_server_name_alexaRank,ssl_dom_version,ssl_handshake_duration_avg,ssl_handshake_duration_entropy,ssl_handshake_duration_firstQ,ssl_handshake_duration_max,ssl_handshake_duration_median,ssl_handshake_duration_min,ssl_handshake_duration_stdev,ssl_handshake_duration_sum,ssl_handshake_duration_thirdQ,ssl_handshake_duration_var,ssl_ratio_client_elliptic_curves,ssl_ratio_server_name,ssl_req_bytes_avg,ssl_req_bytes_entropy,ssl_req_bytes_firstQ,ssl_req_bytes_max,ssl_req_bytes_median,ssl_req_bytes_min,ssl_req_bytes_stdev,ssl_req_bytes_sum,ssl_req_bytes_thirdQ,ssl_req_bytes_var,ssl_resp_bytes_avg,ssl_resp_bytes_entropy,ssl_resp_bytes_firstQ,ssl_resp_bytes_max,ssl_resp_bytes_median,ssl_resp_bytes_min,ssl_resp_bytes_stdev,ssl_resp_bytes_sum,ssl_resp_bytes_thirdQ,ssl_resp_bytes_var,tcp_analysis_duplicate_ack,tcp_analysis_keep_alive,tcp_analysis_lost_segment,tcp_analysis_out_of_order,tcp_analysis_retransmission,tcp_analysis_reused_ports,ttl_A_avg,ttl_A_entropy,ttl_A_firstQ,ttl_A_max,ttl_A_median,ttl_A_min,ttl_A_stdev,ttl_A_sum,ttl_A_thirdQ,ttl_A_var,ttl_B_avg,ttl_B_entropy,ttl_B_firstQ,ttl_B_max,ttl_B_median,ttl_B_min,ttl_B_stdev,ttl_B_sum,ttl_B_thirdQ,ttl_B_var,ttl_avg,ttl_entropy,ttl_firstQ,ttl_max,ttl_median,ttl_min,ttl_stdev,ttl_sum,ttl_thirdQ,ttl_var,is_ssl,is_http,is_g_http,is_cdn_http,is_img_http,is_ad_http,is_numeric_url_http,is_numeric_url_with_port_http,is_tv_http,is_cloud_http,B_is_system_port,B_is_user_port,B_is_dynamic_and_or_private_port,B_port_is_11095,B_port_is_1900,B_port_is_5222,B_port_is_5223,B_port_is_5228,B_port_is_54975,B_port_is_80,B_port_is_8080,B_port_is_8280,B_port_is_9543,B_port_is_else,subdomain_is_99sets,subdomain_is_ccc,subdomain_is_else,subdomain_is_feeds,subdomain_is_h10141.www1,subdomain_is_img,subdomain_is_unresolved,subdomain_is_whp.aus1.cold.extweb,subdomain_is_whp.hou9.cold.extweb,subdomain_is_www,subdomain_is_www.cloud,domain_is_dlink,domain_is_else,domain_is_epicurious,domain_is_google,domain_is_hp,domain_is_hpeprint,domain_is_livecdn,domain_is_mako,domain_is_proteussensor,domain_is_samsung,domain_is_unresolved,suffix_is_biz,suffix_is_cloudfront.net,suffix_is_co.il,suffix_is_com,suffix_is_com.sg,suffix_is_else,suffix_is_empty_char_value,suffix_is_googleapis.com,suffix_is_net,suffix_is_org,suffix_is_unresolved,device_category
9,5,5,1213,743,1.806873527,668,0,0,1.4629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2147483647,0,0,0,0,0,0,648.797378,0,366.0955909,1547.304718,490.697626,218.6343271,0,2840.981562,694.86998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088629559,4,6.90E-05,0.479436159,0.021299481,9.54E-07,0.143402877,1.418072939,0.106998622,0.020564385,0.108932917,2,0.000491142,0.342990351,0.00640893,9.06E-06,0.115841684,0.551958263,0.239845037,0.013419296,0.048762067,4.840223929,0.000189483,0.257333994,0.012104034,9.54E-07,0.0812499,1.462862015,0.041153014,0.006601546,32,0.850178203,0,195,0,0,65,316,0,4225,159,0.918295834,0,477,0,0,275.3960784,477,238.5,75843,64.625,1.061278124,0,477,0,0,167.211532,679,60.5,27959.69643,10,5,0.823480972,5,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,64,64,64,64,0,1088,64,0,50.78571429,1.295836389,35,247,35.5,35,57.33998279,512,36,3287.873626,58.03225806,1.578450254,36,250,64,35,38.33317438,1799,64,1469.432258,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,baby_monitor
9,5,5,1213,743,1.806873527,668,0,0,1.5756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2147483647,0,0,0,0,0,0,648.797378,0,366.0955909,1547.304718,490.697626,218.6343271,0,2840.981562,694.86998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179338652,4.087462841,0.003903151,0.84204483,0.050951958,0.00075984,0.246647426,3.048757076,0.27263999,0.060834953,0.173885584,2,2.10E-05,0.342990351,0.003940105,9.54E-07,0.115841684,0.551958263,0.244937596,0.013419296,0.087107345,4.889680181,0.000540495,0.519007921,0.008671045,9.54E-07,0.147756363,3.048757076,0.086313486,0.021831943,41.14893617,0.850178203,0,195,0,0,65,316,27.75,4225,159,0.918295834,0,477,0,0,275.3960784,477,238.5,75843,64.625,1.061278124,0,477,0,0,167.211532,679,60.5,27959.69643,10,5,0.83328704,5,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,64,64,64,64,0,1152,64,0,47.61111111,1.134969975,35.25,247,36,35,50.51166305,512,36,2551.428105,55.80555556,1.567484987,36,250,64,35,36.17087972,2009,64,1308.33254,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,baby_monitor
9,5,5,1213,743,1.806873527,668,0,0,1.5756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2147483647,0,0,0,0,0,0,648.797378,0,366.0955909,1547.304718,490.697626,218.6343271,0,2840.981562,694.86998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207939059,4,0.008153558,0.74811697,0.042132378,0.00071907,0.270317844,3.327024937,0.369494915,0.073071737,0.172152504,2,8.72E-05,0.342990351,0.006437063,5.96E-06,0.115841684,0.551958263,0.244937596,0.013419296,0.100818937,4.889680181,0.000756979,0.560914993,0.008749008,5.96E-06,0.17019144,3.327024937,0.083212137,0.028965126,41.14893617,0.850178203,0,195,0,0,65,316,37,4225,159,0.918295834,0,477,0,0,275.3960784,477,238.5,75843,64.625,1.061278124,0,477,0,0,167.211532,679,60.5,27959.69643,10,5,0.83328704,5,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,64,64,64,64,0,1088,64,0,49.23529412,1.16608706,36,247,37,36,51.73795683,512,37,2676.816176,56.61764706,1.58304353,37,250,64,36,36.7967511,1925,64,1354.000891,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,baby_monitor
9,5,4,943,485,1.058949653,458,0,0,0.404,0,0,267,0,267,267,267,267,0,267,267,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,302,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,54,0,54,54,54,54,0,54,54,0,213,0,213,213,213,213,0,213,213,0,0.114485,0,0.114485,0.114485,0.114485,0.114485,0,0.114485,0.114485,0,0.080791187,2.321928095,0.020479918,0.129183054,0.125417948,0.001358032,0.064155468,0.403955936,0.127516985,0.004115924,0.094646692,1.584962501,0.064017534,0.155905008,0.127952099,8.30E-05,0.083078665,0.283940077,0.141928554,0.006902065,0.044883993,3.169925001,0.003024817,0.124492168,0.012192011,8.30E-05,0.055723066,0.403955936,0.114402056,0.00310506,9,0.650022422,0,54,0,0,22.04540769,54,0,486,53.25,0.811278124,0,213,0,0,106.5,213,53.25,11342.25,26.7,0.921928095,0,213,0,0,67.62322086,267,0,4572.9,10,4,0.666555574,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,64,64,64,64,0,384,64,0,48.5,1,48,49,48.5,48,0.577350269,194,49,0.333333333,57.8,1.370950594,49,64,64,48,8.011103406,578,64,64.17777778,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,baby_monitor
9,5,5,1213,743,1.806873527,668,0,0,1.5756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2147483647,0,0,0,0,0,0,648.797378,0,366.0955909,1547.304718,490.697626,218.6343271,0,2840.981562,694.86998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.560911343,4.754887502,0.009795189,10.2202661,0.501178026,0.000100136,4.971902976,132.2664289,0.538111925,24.7198192,0.22399497,2,0.067094904,0.342990351,0.16602664,1.91E-06,0.115841684,0.551958263,0.244937596,0.013419296,2.040200417,4.889680181,0.008969069,9.918423176,0.22539103,1.91E-06,3.744149674,150.9748309,0.534085768,14.01865678,41.14893617,0.850178203,0,195,0,0,65,316,50,4225,159,0.918295834,0,477,0,0,275.3960784,477,197,75843,64.625,1.061278124,0,477,0,0,167.211532,679,60.5,27959.69643,10,5,0.83328704,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,64,0,64,64,64,64,0,1920,64,0,40.15555556,1.094767966,35,247,35,35,31.9964171,512,36,1023.770707,49.69333333,1.627811374,35,250,36,35,27.33178198,3727,64,747.0263063,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,baby_monitor
9,5,5,1213,743,1.806873527,668,0,0,1.5756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2147483647,0,0,0,0,0,0,648.797378,0,366.0955909,1547.304718,490.697626,218.6343271,0,2840.981562,694.86998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175065562,4,0.042228997,0.727654934,0.062633991,8.01E-05,0.22686599,2.801048994,0.249876559,0.051468177,0.181063271,2,0.000251412,0.342990351,0.008919954,9.54E-07,0.115841684,0.551958263,0.244937596,0.013419296,0.087532781,4.889680181,0.005461037,0.443323851,0.031059384,9.54E-07,0.122832057,2.801048994,0.108449876,0.015087714,41.14893617,0.850178203,0,195,0,0,65,316,0,4225,159,0.918295834,0,477,0,0,275.3960784,477,238.5,75843,64.625,1.061278124,0,477,0,0,167.211532,679,60.5,27959.69643,10,5,0.83328704,5,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,64,64,64,64,0,1088,64,0,49.5625,1.014097656,36,247,36,36,53.4514967,512,36.25,2857.0625,57,1.491021216,36,250,64,36,37.32207792,1881,64,1392.9375,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,baby_monitor
9,5,5,1213,743,1.806873527,668,0,0,1.5756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2147483647,0,0,0,0,0,0,648.797378,0,366.0955909,1547.304718,490.697626,218.6343271,0,2840.981562,694.86998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.86377577,4.754887502,0.057623863,53.02650213,0.487588048,4.22E-05,10.13937409,175.9132731,0.538111925,102.8069069,0.22399497,2,0.067094904,0.342990351,0.16602664,1.50E-05,0.115841684,0.551958263,0.244937596,0.013419296,2.345510308,4.889680181,0.013993979,32.62370896,0.135510921,1.50E-05,5.094395756,175.9132731,0.527942419,25.95286812,41.14893617,0.850178203,0,195,0,0,65,316,50,4225,159,0.918295834,0,477,0,0,275.3960784,477,197,75843,64.625,1.061278124,0,477,0,0,167.211532,679,60.5,27959.69643,10,5,0.83328704,5,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,64,0,64,64,64,64,0,1984,64,0,41.93333333,0.86842575,37,247,37,37,31.72423794,512,37,1006.427273,50.93421053,1.489581247,37,250,38,37,26.63848621,3871,64,709.6089474,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,baby_monitor
9,5,5,1213,743,1.806873527,668,0,0,1.5756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2147483647,0,0,0,0,0,0,648.797378,0,366.0955909,1547.304718,490.697626,218.6343271,0,2840.981562,694.86998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103419065,4,0.001271307,0.354231834,0.034188032,1.91E-06,0.133650284,1.654705048,0.231102586,0.017862398,0.097247005,2,2.10E-05,0.342990351,0.002115965,3.10E-06,0.115841684,0.551958263,0.227691531,0.013419296,0.050142577,4.889680181,0.000115156,0.283169031,0.010644913,1.91E-06,0.08304645,1.654705048,0.05667305,0.006896713,41.14893617,0.850178203,0,195,0,0,65,316,0,4225,159,0.918295834,0,477,0,0,275.3960784,477,238.5,75843,64.625,1.061278124,0,477,0,0,167.211532,679,60.5,27959.69643,10,5,0.83328704,5,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,64,64,64,64,0,1088,64,0,48.29411765,1.16608706,35,247,36,35,51.98048276,512,36,2701.970588,56.14705882,1.58304353,36,250,64,35,37.0618912,1909,64,1373.583779,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,baby_monitor
9,5,5,1213,743,1.806873527,668,0,0,1.5756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2147483647,0,0,0,0,0,0,648.797378,0,366.0955909,1547.304718,490.697626,218.6343271,0,2840.981562,694.86998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114639863,4,1.34E-05,0.500966787,0.029597878,1.19E-06,0.157095646,1.834237814,0.199610829,0.024679042,0.118937143,2,2.16E-05,0.342990351,0.000392914,1.00E-05,0.115841684,0.551958263,0.244937596,0.013419296,0.057319932,4.889680181,1.36E-05,0.286998987,0.006647468,1.19E-06,0.091241174,1.834237814,0.080460131,0.008324952,41.14893617,0.850178203,0,195,0,0,65,316,0,4225,159,0.918295834,0,477,0,0,275.3960784,477,238.5,75843,64.625,1.061278124,0,477,0,0,167.211532,679,60.5,27959.69643,10,5,0.83328704,5,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,64,64,64,64,0,1088,64,0,49.0625,1.198192411,35,247,36,35,53.58540691,512,36,2871.395833,56.75757576,1.580279279,36,250,64,35,37.46250651,1873,64,1403.439394,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,baby_monitor
9,5,5,1213,743,1.806873527,668,0,0,1.5756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2147483647,0,0,0,0,0,0,648.797378,0,366.0955909,1547.304718,490.697626,218.6343271,0,2840.981562,694.86998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160805821,4,1.19E-05,0.686478853,0.033868074,9.54E-07,0.230949586,2.572893143,0.330237746,0.053337711,0.152752995,2,3.42E-05,0.342990351,0.001018405,1.00E-05,0.115841684,0.551958263,0.244937596,0.013419296,0.077966459,4.889680181,2.00E-05,0.506772041,0.006160021,9.54E-07,0.14104753,2.572893143,0.084471941,0.019894406,41.14893617,0.850178203,0,195,0,0,65,316,0,4225,159,0.918295834,0,477,0,0,275.3960784,477,238.5,75843,64.625,1.061278124,0,477,0,0,167.211532,679,60.5,27959.69643,10,5,0.83328704,5,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,64,64,64,64,0,1088,64,0,49.23529412,1.16608706,36,247,37,36,51.73795683,512,37,2676.816176,56.61764706,1.58304353,37,250,64,36,36.7967511,1925,64,1354.000891,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,baby_monitor
